"Show_Name","English","Type","Episodes","Rank","Score","Users","Popularity","Members","Favorites","Genre","Source","Licensors","Studios","Producers","Premiered"
"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist: Brotherhood","TV","64","1","9.25","735552","4","1202440","107147","Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","Manga","Funimation, Aniplex of America","Bones","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Spring 2009"
"Kimi no Na wa.","Your Name.","Movie","1","2","9.19","473780","33","733659","35067","Supernatural, Drama, Romance, School","Original","Funimation, NYAV Post","CoMix Wave Films","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing & Communications",""
"Gintama°","","","","3","","","","","","","","","","",""
"Steins;Gate","Steins;Gate","TV","24","4","9.14","566251","8","1013340","92702","Thriller, Sci-Fi","Visual novel","Funimation","White Fox","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Spring 2011"
"Steins;Gate 0","","TV","23","5","9.13","28291","316","228354","1920","Sci-Fi, Thriller","Visual novel","Funimation","White Fox","Frontier Works, Media Factory, Kadokawa Shoten, Movic, Nitroplus","Spring 2018"
"Ginga Eiyuu Densetsu","Legend of the Galactic Heroes","OVA","110","6","9.11","29114","670","125405","8590","Military, Sci-Fi, Space, Drama","Novel","Sentai Filmworks","Artland, Magic Bus","Kitty Films",""
"Gintama'","Gintama Season 2","TV","51","7","9.11","92197","344","215947","4550","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","Spring 2011"
"Hunter x Hunter (2011)","Hunter x Hunter","TV","148","8","9.11","405164","34","723371","64548","Action, Adventure, Super Power, Shounen","Manga","Viz Media","Madhouse","VAP, Nippon Television Network, Shueisha","Fall 2011"
"3-gatsu no Lion 2nd Season","March Comes In Like A Lion 2nd Season","TV","22","9","9.09","31283","986","86551","2293","Drama, Game, Seinen, Slice of Life","Manga","Aniplex of America","Shaft","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy's Factory","Fall 2017"
"Gintama': Enchousen","Gintama: Enchousen","TV","13","10","9.06","63606","684","123909","1509","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","Fall 2012"
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","","Movie","1","11","9.04","61115","828","105715","1395","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",""
"Koe no Katachi","A Silent Voice","Movie","1","12","9.04","298187","76","514861","19940","Drama, School, Shounen","Manga","NYAV Post","Kyoto Animation","Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",""
"Owarimonogatari 2nd Season","Owarimonogatari Second Season","TV","7","13","9.02","43130","762","114567","2439","Comedy, Mystery, Supernatural, Vampire","Light novel","Aniplex of America","Shaft","Aniplex, Kodansha","Summer 2017"
"Clannad: After Story","Clannad ~After Story~","TV","24","14","9.01","363803","55","608508","47428","Slice of Life, Comedy, Supernatural, Drama, Romance","Visual novel","Sentai Filmworks","Kyoto Animation","Pony Canyon, TBS, Rakuonsha, Animation Do","Fall 2008"
"Gintama","","","","15","","","","","","","","","","",""
"Gintama.","Gintama Season 5","TV","12","16","9.01","40682","927","92242","1235","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Manga","None found, add some","Bandai Namco Pictures","TV Tokyo, Aniplex, Dentsu, Shueisha","Winter 2017"
"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou","Haikyu!! 3rd Season","TV","10","17","8.99","158854","273","253559","4160","Comedy, Sports, Drama, School, Shounen","Manga","Sentai Filmworks","Production I.G","TOHO animation, Shueisha","Fall 2016"
"Code Geass: Hangyaku no Lelouch R2","Code Geass: Lelouch of the Rebellion R2","TV","25","18","8.95","545009","21","793137","44296","Action, Military, Sci-Fi, Super Power, Drama, Mecha","Original","Funimation, Bandai Entertainment","Sunrise","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Spring 2008"
"Sen to Chihiro no Kamikakushi","Spirited Away","Movie","1","19","8.92","499726","39","707425","15456","Adventure, Supernatural, Drama","Original","Walt Disney Studios, GKIDS","Studio Ghibli","Toho",""
"Made in Abyss","Made in Abyss","TV","13","20","8.91","168138","178","328543","11910","Sci-Fi, Adventure, Mystery, Drama, Fantasy","Web manga","Sentai Filmworks","Kinema Citrus","Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Co., LTD.","Summer 2017"
"Shigatsu wa Kimi no Uso","Your Lie in April","TV","22","21","8.88","414779","37","719865","39765","Drama, Music, Romance, School, Shounen","Manga","Aniplex of America","A-1 Pictures","Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings","Fall 2014"
"Haikyuu!! Second Season","Haikyu!! 2nd Season","TV","25","22","8.87","206225","171","334835","6578","Comedy, Sports, Drama, School, Shounen","Manga","Sentai Filmworks","Production I.G","TOHO animation, Shueisha","Fall 2015"
"Kizumonogatari III: Reiketsu-hen","","Movie","1","23","8.87","62669","646","130663","1545","Action, Mystery, Supernatural, Vampire","Light novel","None found, add some","Shaft","Aniplex, Kodansha",""
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen","Descending Stories: Showa Genroku Rakugo Shinju","TV","12","24","8.87","27437","1103","75245","1401","Drama, Historical, Josei","Manga","None found, add some","Studio Deen","Mainichi Broadcasting System, Kodansha, DAX Production, King Records","Winter 2017"
"Gintama.: Shirogane no Tamashii-hen","","TV","12","25","8.85","15342","1716","42735","389","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Bandai Namco Pictures","TV Tokyo, Aniplex, Dentsu, Shueisha","Winter 2018"
"Mushishi Zoku Shou 2nd Season","","TV","10","26","8.83","48935","727","118622","701","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Manga","Aniplex of America","Artland","Aniplex, Kodansha, Delfi Sound","Fall 2014"
"Cowboy Bebop","Cowboy Bebop","TV","26","27","8.81","366283","38","709733","39240","Action, Adventure, Comedy, Drama, Sci-Fi, Space","Original","Funimation, Bandai Entertainment","Sunrise","Bandai Visual","Spring 1998"
"Hajime no Ippo","Fighting Spirit","TV","75","28","8.80","116927","314","230027","10785","Comedy, Sports, Drama, Shounen","Manga","Geneon Entertainment USA","Madhouse","VAP","Fall 2000"
"Mononoke Hime","Princess Mononoke","Movie","1","29","8.80","334785","79","509381","10724","Action, Adventure, Fantasy","Original","GKIDS","Studio Ghibli","Tokuma Shoten, Nippon Television Network",""
"Code Geass: Hangyaku no Lelouch","Code Geass: Lelouch of the Rebellion R2","TV","25","30","8.95","545009","21","793137","44296","Action, Military, Sci-Fi, Super Power, Drama, Mecha","Original","Funimation, Bandai Entertainment","Sunrise","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Spring 2008"
"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen","Samurai X: Trust and Betrayal","OVA","4","31","8.79","89255","481","167538","4693","Action, Historical, Drama, Romance, Martial Arts, Samurai","Manga","ADV Films, Aniplex of America","Studio Deen","Aniplex",""
"Boku no Hero Academia 3rd Season","My Hero Academia 3","TV","25","32","8.77","50906","226","290446","2093","Action, Comedy, School, Shounen, Super Power","Manga","Funimation","Bones","Shueisha","Spring 2018"
"Monogatari Series: Second Season","Monogatari Series: Second Season","TV","26","33","8.77","162184","207","304738","11929","Mystery, Comedy, Supernatural, Romance, Vampire","Light novel","Aniplex of America","Shaft","Aniplex, Kodansha, Cyclone Graphics inc","Summer 2013"
"Mushishi Zoku Shou","","TV","10","34","8.83","48935","727","118622","701","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Manga","Aniplex of America","Artland","Aniplex, Kodansha, Delfi Sound","Fall 2014"
"Ookami Kodomo no Ame to Yuki","Wolf Children","Movie","1","35","8.77","205251","148","359182","7110","Slice of Life, Fantasy","Original","Funimation","Studio Chizu","Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",""
"Boku no Hero Academia 2nd Season","My Hero Academia 2","TV","25","36","8.76","353111","57","587322","11744","Action, Comedy, Super Power, School, Shounen","Manga","Funimation","Bones","Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha","Spring 2017"
"Great Teacher Onizuka","Great Teacher Onizuka","TV","43","37","8.74","187755","146","361789","14100","Comedy, Drama, School, Shounen, Slice of Life","Manga","Discotek Media, TOKYOPOP","Studio Pierrot","Aniplex, Fuji TV","Summer 1999"
"Mushishi","","TV","10","38","8.83","48935","727","118622","701","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Manga","Aniplex of America","Artland","Aniplex, Kodansha, Delfi Sound","Fall 2014"
"Natsume Yuujinchou Roku","Natsume's Book of Friends Season 6","TV","11","39","8.74","24436","1228","66551","523","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","Manga","None found, add some","Shuka","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha","Spring 2017"
"No Game No Life: Zero","","Movie","1","40","8.74","79990","321","227341","3041","Game, Supernatural, Drama, Romance, Fantasy","Light novel","Sentai Filmworks","Madhouse","None found, add some",""
"Tengen Toppa Gurren Lagann","Gurren Lagann","TV","27","41","8.74","450561","24","789397","50120","Action, Adventure, Comedy, Mecha, Sci-Fi","Original","Bandai Entertainment, Aniplex of America","Gainax","TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai","Spring 2007"
"Hajime no Ippo: New Challenger","Fighting Spirit: New Challenger","TV","26","42","8.73","77922","663","126409","1074","Comedy, Sports, Drama, Shounen","Manga","None found, add some","Madhouse","VAP, Kodansha, Nippon Television Network","Winter 2009"
"Howl no Ugoku Shiro","Howl's Moving Castle","Movie","1","43","8.73","334802","89","482376","9775","Adventure, Drama, Fantasy, Romance","Novel","Walt Disney Studios","Studio Ghibli","d-rights, Tokuma Shoten",""
"One Punch Man","One Punch Man","TV","12","44","8.73","694167","5","1024482","30834","Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen","Web manga","Viz Media","Madhouse","TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, East Japan Marketing & Communications","Fall 2015"
"Suzumiya Haruhi no Shoushitsu","The Disappearance of Haruhi Suzumiya","Movie","1","45","8.73","179744","182","324302","8523","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","Light novel","Funimation, Bandai Entertainment","Kyoto Animation","Kadokawa Shoten, Animation Do",""
"Natsume Yuujinchou Shi","Natsume's Book of Friends Season 4","TV","13","46","8.72","62232","633","132626","1396","Slice of Life, Supernatural, Drama, Fantasy, Shoujo","Manga","NIS America, Inc.","Brain's Base","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment","Winter 2012"
"Mushishi Zoku Shou: Suzu no Shizuku","","Movie","1","47","8.70","22359","1431","55649","125","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","Manga","None found, add some","Artland","Aniplex, Kodansha, Delfi Sound",""
"Kizumonogatari II: Nekketsu-hen","Kizumonogatari Part 2: Nekketsu","Movie","1","48","8.69","71806","608","137214","775","Action, Mystery, Supernatural, Vampire","Light novel","Aniplex of America","Shaft","Aniplex, Kodansha",""
"Monster","Monster","TV","74","49","8.69","119099","152","354086","17422","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","Manga","Viz Media","Madhouse","VAP, Shogakukan Productions, Nippon Television Network","Spring 2004"
"Bakuman. 3rd Season","Bakuman.","TV","25","50","8.67","107974","426","183240","2084","Comedy, Drama, Romance, Shounen","Manga","None found, add some","J.C.Staff","NHK, Shueisha","Fall 2012"
"Death Note","Death Note","TV","37","51","8.67","1011623","1","1459864","88811","Mystery, Police, Psychological, Supernatural, Thriller, Shounen","Manga","Viz Media","Madhouse","VAP, Konami, Ashi Production, Nippon Television Network, Shueisha","Fall 2006"
"Saiki Kusuo no <U+03A8>-nan (TV) 2","","","","52","","","","","","","","","","",""
"Ansatsu Kyoushitsu 2nd Season","Assassination Classroom Second Season","TV","25","53","8.66","214272","134","381954","6724","Action, Comedy, School, Shounen","Manga","Funimation","Lerche","Dentsu, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting","Winter 2016"
"Fate/Zero 2nd Season","Fate/Zero Season 2","TV","12","54","8.66","313851","81","501043","10975","Action, Supernatural, Magic, Fantasy","Novel","Aniplex of America","ufotable","Aniplex, Nitroplus, Seikaisha, Notes","Spring 2012"
"Hajime no Ippo: Rising","Hajime No Ippo: The Fighting!","TV","25","55","8.66","59444","846","103305","649","Comedy, Sports, Drama, Shounen","Manga","None found, add some","Madhouse, MAPPA","VAP, Kodansha, Nippon Television Network","Fall 2013"
"Pingu in the City","","TV","26","56","8.66","6392","2541","21982","632","Slice of Life, Comedy, Kids","Other","None found, add some","Polygon Pictures","NHK","Fall 2017"
"Haikyuu!!","Haikyu!!","TV","25","57","8.65","278793","86","484728","23791","Comedy, Drama, School, Shounen, Sports","Manga","Sentai Filmworks","Production I.G","Mainichi Broadcasting System, TOHO animation, Shueisha","Spring 2014"
"Natsume Yuujinchou San","Natsume's Book of Friends Season 3","TV","13","58","8.65","68953","597","139391","983","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","Manga","NIS America, Inc.","Brain's Base","Aniplex, Sakura Create","Summer 2011"
"Ping Pong The Animation","Ping Pong the Animation","TV","11","59","8.65","73109","561","147387","7049","Sports, Psychological, Drama, Seinen","Manga","Funimation","Tatsunoko Production","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings","Spring 2014"
"Sora yori mo Tooi Basho","A Place Further Than The Universe","TV","13","60","8.65","42701","760","114949","2550","Slice of Life, Adventure","Original","None found, add some","Madhouse","Media Factory, Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund","Winter 2018"
"Yojouhan Shinwa Taikei","The Tatami Galaxy","TV","11","61","8.65","60661","422","184010","9473","Mystery, Comedy, Psychological, Romance","Novel","Funimation","Madhouse","Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace Entertainment, Tohokushinsha Film Corporation, Sony Music Entertainment, Fuji Pacific Music Publishing","Spring 2010"
"Mushishi Special: Hihamukage","The Shadow that Devours the Sun","Special","1","62","8.64","36077","1200","67916","100","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","Manga","None found, add some","Artland","Aniplex, Kodansha, Delfi Sound",""
"Natsume Yuujinchou Go","Natsume's Book of Friends Season 5","TV","11","63","8.64","31632","1038","80718","460","Slice of Life, Supernatural, Drama, Fantasy, Shoujo","Manga","None found, add some","Shuka","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha","Fall 2016"
"JoJo no Kimyou na Bouken: Diamond wa Kudakenai","JoJo's Bizarre Adventure: Diamond is Unbreakable","TV","39","64","8.63","100052","430","182624","7245","Action, Adventure, Comedy, Supernatural, Drama, Shounen","Manga","Viz Media","David Production","Warner Bros., KlockWorx, Medicos Entertainment, Shueisha","Spring 2016"
"Kara no Kyoukai 5: Mujun Rasen","the Garden of sinners Chapter 5: Paradox Paradigm","Movie","1","65","8.63","78876","595","139809","2999","Action, Mystery, Supernatural, Drama, Romance, Thriller","Light novel","Aniplex of America","ufotable","Notes",""
"Shouwa Genroku Rakugo Shinjuu","Showa Genroku Rakugo Shinju","TV","13","66","8.63","47620","590","141765","3267","Drama, Historical, Josei","Manga","None found, add some","Studio Deen","Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production","Winter 2016"
"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen","Gurren Lagann The Movie: The Lights in the Sky are Stars","Movie","1","67","8.62","55182","758","114557","550","Action, Sci-Fi, Space, Super Power, Mecha","Original","Aniplex of America","Gainax","Aniplex",""
"Zoku Natsume Yuujinchou","Natsume's Book of Friends Season 2","TV","13","68","8.62","77587","558","147520","1213","Drama, Fantasy, Shoujo, Slice of Life, Supernatural","Manga","NIS America, Inc.","Brain's Base","Aniplex, Nihon Ad Systems","Winter 2009"
"Ashita no Joe 2","Rocky Joe 2","TV","47","69","8.61","4303","3356","12575","534","Action, Drama, Shounen, Slice of Life, Sports","Manga","None found, add some","Tokyo Movie Shinsha","Annapuru","Fall 1980"
"Rainbow: Nisha Rokubou no Shichinin","Rainbow","TV","26","70","8.60","78433","384","197118","5209","Drama, Historical, Seinen, Thriller","Manga","Funimation","Madhouse","VAP, Nippon Television Network","Spring 2010"
"Aria The Origination","Aria The Origination","TV","13","71","8.59","18059","1158","71171","2984","Fantasy, Sci-Fi, Shounen, Slice of Life","Manga","Nozomi Entertainment","Hal Film Maker","TV Tokyo, Shochiku, Mag Garden","Winter 2008"
"Gintama.: Porori-hen","Gintama.: Slip Arc","TV","13","72","8.59","23217","1461","54047","452","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Bandai Namco Pictures","TV Tokyo, Aniplex, Dentsu, Shueisha","Fall 2017"
"Violet Evergarden","Violet Evergarden","TV","13","73","8.59","114324","155","349285","6205","Slice of Life, Drama, Fantasy","Light novel","None found, add some","Kyoto Animation","Lantis, Pony Canyon, Rakuonsha, ABC Animation","Winter 2018"
"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","","","","74","","","","","","","","","","",""
"Gintama Movie 1: Shinyaku Benizakura-hen","Gintama: The Movie","Movie","1","75","8.57","42486","1139","72486","323","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","Sentai Filmworks","Sunrise","TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",""
"Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen","Food Wars! The Third Plate: Totsuki Train Arc","TV","","76","8.57","21678","591","141730","589","Ecchi, School, Shounen","Manga","None found, add some","J.C.Staff","Shueisha","Spring 2018"
"Boku dake ga Inai Machi","ERASED","TV","12","77","8.56","441532","40","701307","21293","Mystery, Psychological, Seinen, Supernatural","Manga","Aniplex of America","A-1 Pictures","Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson","Winter 2016"
"JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season","JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt","TV","24","78","8.56","121679","398","191380","4480","Action, Adventure, Drama, Shounen, Supernatural","Manga","Viz Media","David Production","Yomiko Advertising, Warner Bros., KlockWorx","Winter 2015"
"Saiki Kusuo no <U+03A8>-nan (TV)","","","","79","","","","","","","","","","",""
"Uchuu Kyoudai","Space Brothers","TV","99","80","8.56","26708","882","99046","2507","Comedy, Sci-Fi, Seinen, Slice of Life, Space","Manga","Sentai Filmworks","A-1 Pictures","Aniplex, Dentsu, YTV, Trinity Sound","Spring 2012"
"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","anohana: The Flower We Saw That Day","TV","11","81","8.55","398847","45","662676","21181","Slice of Life, Supernatural, Drama","Original","NIS America, Inc., Aniplex of America","A-1 Pictures","Aniplex, Dentsu, Fuji TV, Fuji Pacific Music Publishing","Spring 2011"
"Ghost in the Shell: Stand Alone Complex 2nd GIG","Ghost in the Shell: Stand Alone Complex 2nd GIG","TV","26","82","8.55","72355","547","149688","2396","Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen","Manga","Bandai Entertainment, Manga Entertainment","Production I.G","Bandai Visual, Dentsu, Victor Entertainment, Tokuma Shoten","Winter 2004"
"Hotaru no Haka","Grave of the Fireflies","Movie","1","83","8.55","147324","283","246132","2924","Drama, Historical","Novel","ADV Films, Central Park Media, Sentai Filmworks","Studio Ghibli","None found, add some",""
"Hotarubi no Mori e","","Movie","1","84","8.55","175143","196","313317","5592","Drama, Romance, Shoujo, Supernatural","Manga","None found, add some","Brain's Base","Aniplex",""
"Shokugeki no Souma","Food Wars! The Third Plate: Totsuki Train Arc","TV","","85","8.57","21678","591","141730","589","Ecchi, School, Shounen","Manga","None found, add some","J.C.Staff","Shueisha","Spring 2018"
"Slam Dunk","Slam Dunk","TV","101","86","8.55","55152","753","115215","3431","Comedy, Sports, Drama, School, Shounen","Manga","Flatiron Film Company, Geneon Entertainment USA","Toei Animation","TV Asahi, Animax","Fall 1993"
"Kamisama Hajimemashita: Kako-hen","","OVA","4","87","8.54","27270","1304","62438","520","Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo","Manga","None found, add some","TMS Entertainment","None found, add some",""
"Kuroko no Basket 3rd Season","Kuroko's Basketball 3","TV","25","88","8.54","174463","227","288155","3365","Comedy, Sports, School, Shounen","Manga","None found, add some","Production I.G","Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11","Winter 2015"
"Kuroshitsuji Movie: Book of the Atlantic","Black Butler: Book of the Atlantic","Movie","1","89","8.54","18582","1326","61573","567","Action, Comedy, Historical, Demons, Supernatural, Fantasy","Manga","Funimation","A-1 Pictures","Aniplex, Square Enix",""
"Major S5","","TV","25","90","8.54","23161","1833","38266","436","Comedy, Drama, Romance, Sports","Manga","None found, add some","SynergySP","NHK","Winter 2009"
"One Piece","One Piece","TV","","91","8.54","424877","36","722108","69900","Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","Manga","Funimation, 4Kids Entertainment","Toei Animation","Fuji TV, TAP, Shueisha","Fall 1999"
"Hellsing Ultimate","Hellsing Ultimate","OVA","10","92","8.53","222385","105","426120","13470","Action, Military, Horror, Supernatural, Vampire, Seinen","Manga","Funimation, Geneon Entertainment USA","Madhouse, Satelight, Graphinica","Geneon Universal Entertainment, StudioRF Inc., Shounen Gahousha",""
"Gintama: Yorinuki Gintama-san on Theater 2D","","Movie","2","93","8.52","7028","2772","18483","32","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Manga","None found, add some","Sunrise","None found, add some",""
"Kiseijuu: Sei no Kakuritsu","Parasyte -the maxim-","TV","24","94","8.52","411217","42","678854","16001","Action, Sci-Fi, Horror, Psychological, Drama, Seinen","Manga","Sentai Filmworks","Madhouse","VAP, Kodansha, Nippon Television Network, Forecast Communications","Fall 2014"
"Mushishi Zoku Shou: Odoro no Michi","Mushishi Path of Thorns","Special","1","95","8.52","25439","1548","49234","60","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","Manga","Aniplex of America","Artland","Aniplex, Kodansha, Delfi Sound",""
"Nichijou","Nichijou - My Ordinary Life","TV","26","96","8.52","152225","136","378512","12466","Slice of Life, Comedy, School","Manga","Funimation, Bandai Entertainment","Kyoto Animation","Lantis, Kadokawa Shoten, Movic, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Animation Do","Spring 2011"
"Usagi Drop","Bunny Drop","TV","11","97","8.52","139855","256","267922","4711","Josei, Slice of Life","Manga","NIS America, Inc.","Production I.G","Fuji TV, Tohokushinsha Film Corporation, Sony Music Entertainment, Sakura Create, Fuji Pacific Music Publishing","Summer 2011"
"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)","the Garden of sinners Chapter 7: Murder Speculation Part B","Movie","1","98","8.51","66864","710","121040","1447","Action, Mystery, Supernatural, Romance, Thriller","Light novel","Aniplex of America","ufotable","Notes",""
"Kingdom 2nd Season","Kingdom: Season 2","TV","39","99","8.51","21728","1622","45991","505","Action, Military, Historical, Seinen","Manga","Funimation","Studio Pierrot","NHK","Summer 2013"
"Mob Psycho 100","Mob Psycho 100","TV","12","100","8.51","274028","84","487084","8952","Action, Slice of Life, Comedy, Supernatural","Web manga","Funimation, Crunchyroll","Bones","Warner Bros., KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Summer 2016"
"Bakemono no Ko","The Boy and the Beast","Movie","1","101","8.50","91124","482","167655","1754","Adventure, Supernatural","Original","Funimation","Studio Chizu","Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Nippon Television Network",""
"Cross Game","Cross Game","TV","50","102","8.50","29555","1166","70661","2115","Comedy, Drama, Romance, School, Sports","Manga","None found, add some","SynergySP","TV Tokyo, Shogakukan Productions","Spring 2009"
"Fate/stay night Movie: Heaven's Feel - I. Presage Flower","Fate/stay night: Heaven's Feel - I. Presage Flower","Movie","1","103","8.50","16448","825","106392","772","Action, Fantasy, Magic, Supernatural","Visual novel","Aniplex of America","ufotable","Aniplex, Notes",""
"Gintama°: Aizome Kaori-hen","","","","104","","","","","","","","","","",""
"Nana","Nana","TV","47","105","8.50","108907","262","262914","12315","Music, Slice of Life, Comedy, Drama, Romance, Shoujo","Manga","Viz Media","Madhouse","VAP, Nippon Television Network, Shueisha","Spring 2006"
"Samurai Champloo","Samurai Champloo","TV","26","106","8.50","298573","67","545271","19521","Action, Adventure, Comedy, Historical, Samurai, Shounen","Original","Funimation, Geneon Entertainment USA","Manglobe","Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG","Spring 2004"
"Shokugeki no Souma: San no Sara","Food Wars! The Third Plate","TV","12","107","8.50","130824","280","249805","1815","Ecchi, School, Shounen","Manga","None found, add some","J.C.Staff","Lantis, Warner Bros., KlockWorx, Shueisha","Fall 2017"
"Baccano!","Baccano!","TV","13","108","8.49","222365","87","483267","17818","Action, Mystery, Comedy, Historical, Supernatural","Light novel","Funimation, Aniplex of America","Brain's Base","Aniplex, Sakura Create, Happinet Pictures","Summer 2007"
"Bakuman. 2nd Season","Bakuman.","TV","25","109","8.49","122313","374","202059","1025","Comedy, Drama, Romance, Shounen","Manga","Media Blasters","J.C.Staff","NHK, Shueisha","Fall 2011"
"Kuroko no Basket 2nd Season","Kuroko's Basketball 2","TV","25","110","8.49","224865","153","352956","3578","Comedy, Sports, School, Shounen","Manga","None found, add some","Production I.G","Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11","Fall 2013"
"Shingeki no Kyojin","Attack on Titan","TV","25","111","8.49","942300","2","1349294","64155","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","Manga","Funimation","Wit Studio","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Shingeki no Kyojin Team, Pony Canyon Enterprise","Spring 2013"
"Shinsekai yori","From the New World","TV","25","112","8.49","158133","114","410853","16508","Sci-Fi, Mystery, Horror, Psychological, Supernatural, Drama","Novel","Sentai Filmworks","A-1 Pictures","Aniplex, TV Asahi, Pony Canyon","Fall 2012"
"Houseki no Kuni (TV)","Land of the Lustrous","TV","12","113","8.48","52568","650","130279","3019","Action, Mystery, Drama, Fantasy, Seinen","Manga","Sentai Filmworks","Orange","Mainichi Broadcasting System, Kodansha, Movic, AT-X, TOHO animation, Tokyo MX, Q-Tec, Kyoraku Industrial Holdings, BS11","Fall 2017"
"Neon Genesis Evangelion: The End of Evangelion","Neon Genesis Evangelion: The End of Evangelion","Movie","1","114","8.48","194329","216","296948","8205","Sci-Fi, Dementia, Psychological, Drama, Mecha","Original","Manga Entertainment","Gainax, Production I.G","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",""
"Yuu<U+2606>Yuu<U+2606>Hakusho","","","","115","","","","","","","","","","",""
